Name	Length	EffectiveLength	TPM	NumReads
FBgn0038471	1102	924.183	23.8134	148
FBgn0038047	1623	1445.18	4.93897	48
FBgn0064237	1495	1317.18	0	0
FBgn0032036	2418.89	2241.07	392.811	5920
FBgn0038207	740	562.56	0.528664	2
FBgn0259821	4377.35	4199.53	2.83275	80
FBgn0032084	1511.65	1333.83	2.22971	20
FBgn0014427	1176	998.183	11.173	75
FBgn0031257	2624.79	2446.97	57.3669	944
FBgn0041094	2291.05	2113.24	101.331	1440.03
FBgn0033988	2216	2038.18	40.5745	556.132
FBgn0001986	3585	3407.18	43.6875	1001
FBgn0032078	1998.85	1821.04	219.905	2693
FBgn0038551	1645	1467.18	31.8247	314
FBgn0000808	2015.53	1837.71	7.04637	87.081
FBgn0036895	3746	3568.18	0.083349	2
FBgn0266455	280	102.88	0	0
FBgn0031575	2698.34	2520.53	12.3303	209
FBgn0033880	1145	967.183	4.30495	28
FBgn0051661	1341	1163.18	0	0
FBgn0283476	12442	12264.2	0.084875	7
FBgn0032882	1961	1783.18	38.6285	463.218
FBgn0025700	893.113	715.582	109.93	529
FBgn0039811	514	336.685	0	0
FBgn0086447	414.806	237.592	34.4231	55
FBgn0000463	4766.98	4589.16	0.131871	4.071
FBgn0034748	1924	1746.18	16.9466	199
FBgn0042138	1247.03	1069.21	102.639	738
FBgn0017556	1210.6	1032.78	9.4e-05	0
FBgn0267423	640	462.611	0	0
FBgn0052843	3276.48	3098.66	0.047989	1
FBgn0250827	860	682.483	0.217885	1
FBgn0023536	2345	2167.18	3.91109	57
FBgn0263236	3152.74	2974.92	1.14966	23
FBgn0039379	1894	1716.18	33.7924	390
FBgn0263842	318	140.854	0	0
FBgn0259676	1753	1575.18	26.4329	280
FBgn0050005	887	709.475	36.9767	176.419
FBgn0036842	2790.1	2612.28	38.8224	682
FBgn0026718	1573.23	1395.42	3.83634	36.001
FBgn0034061	656	478.596	37.2847	120
FBgn0038877	2124	1946.18	54.2865	710.489
FBgn0262588	777	599.546	18.8499	76
FBgn0264979	1349.69	1171.87	15.2272	120
FBgn0010772	3248.88	3071.06	35.8797	741
FBgn0034127	2103	1925.18	1.08137	14
FBgn0261850	2797	2619.18	22.3691	394
FBgn0037853	1642	1464.18	91.2009	898
FBgn0038851	978	800.415	3.15829	17
FBgn0083942	556	378.661	0	0
FBgn0004915	1414.37	1236.56	32.9721	274.185
FBgn0265630	6021.01	5843.2	33.0071	1297
FBgn0034870	870	692.479	0	0
FBgn0036483	4066.02	3888.21	9.71411	254
FBgn0026869	6356.82	6179	41.8488	1738.94
FBgn0051404	981	803.414	0	0
FBgn0050446	2303	2125.18	0.489801	7
FBgn0033020	668.938	491.527	1.21013	4
FBgn0036450	2644	2466.18	40.2781	668
FBgn0085479	1472	1294.18	0.574503	5
FBgn0037045	1081	903.183	7.57357	46
FBgn0030114	2681.34	2503.52	52.7449	888.001
FBgn0046685	2895	2717.18	45.2043	826
FBgn0031951	1192	1014.18	31.3518	213.826
FBgn0030310	737.947	560.495	326.591	1231
FBgn0032251	1047.4	869.584	11.9703	70
FBgn0036009	1497	1319.18	0	0
FBgn0039266	1631.86	1454.04	49.8047	487
FBgn0034194	1754.12	1576.31	25.8481	274
FBgn0004554	569.5	392.156	0	0
FBgn0003360	1637.97	1460.16	400.747	3935.05
FBgn0030320	3587.48	3409.66	20.4977	470.001
FBgn0261639	849	671.496	10.1588	45.874
FBgn0030812	4539.55	4361.73	53.6957	1575
FBgn0052091	2967	2789.18	1.66358	31.203
FBgn0039183	3126.82	2949.01	29.4984	585
FBgn0000299	5701.11	5523.3	816.889	30341.9
FBgn0004892	2611	2433.18	0.061114	1
FBgn0038602	615	437.636	0.339786	1
FBgn0037260	1785	1607.18	0.675472	7.301
FBgn0052668	2676	2498.18	0.535718	9
FBgn0001250	5711.33	5533.51	0.77932	29.001
FBgn0036795	1548	1370.18	0	0
FBgn0015321	1154.06	976.247	60.4713	397
FBgn0030202	348	170.838	0	0
FBgn0030244	982.637	804.957	0.554201	3
FBgn0039501	2472	2294.18	6.93544	107
FBgn0038127	935	757.464	0	0
FBgn0003129	2566	2388.18	0	0
FBgn0033100	554.869	377.53	30.7229	78
FBgn0030832	708	530.575	0	0
FBgn0264738	1067	889.183	0	0
FBgn0036302	2080.25	1902.43	82.0727	1050
FBgn0011205	2008.99	1831.17	59.2762	729.946
FBgn0028700	1279.03	1101.21	35.0424	259.506
FBgn0039927	3428.51	3250.69	7.18621	157.093
FBgn0038079	782.996	605.531	0.736721	3
FBgn0040066	1672.11	1494.29	62.2993	626.038
FBgn0030833	3819.89	3642.07	4.57286	112
FBgn0036656	1409.81	1232	0.717665	5.946
FBgn0053531	4276.65	4098.83	0.217676	6
FBgn0033982	2804.42	2626.6	0.516928	9.13
FBgn0085237	380	202.82	0	0
FBgn0052086	1523.55	1345.73	0.110499	1
FBgn0284247	12278.6	12100.8	0.024577	2
FBgn0039434	1030	852.183	0	0
FBgn0051933	2076	1898.18	0	0
FBgn0038830	670	492.59	20.2259	67
FBgn0035294	1682	1504.18	85.8779	868.688
FBgn0040793	417	239.777	401.25	647
FBgn0014179	2032.52	1854.7	0.080176	1
FBgn0031145	841.532	664.06	265.408	1185.23
FBgn0033234	2014.91	1837.1	1.81931	22.476
FBgn0040343	743.5	566.054	0	0
FBgn0050491	1259.34	1081.53	3.90758	28.42
FBgn0034420	3262.72	3084.91	147.743	3065
FBgn0054008	715	537.571	3.31943	12
FBgn0037297	1596.1	1418.28	20.0258	191
FBgn0031725	2661.5	2483.68	0	0
FBgn0039307	1248	1070.18	0	0
FBgn0035435	1103	925.183	10.7688	67
FBgn0013810	12202	12024.2	3.28961	266
FBgn0003963	4649.11	4471.29	81.1808	2441
FBgn0030494	858	680.485	0.437049	2
FBgn0039055	3473	3295.18	30.7317	681
FBgn0040308	1047.28	869.463	64.1355	375
FBgn0039620	2274	2096.18	1.48973	21
FBgn0015765	1460.83	1283.01	17.2693	149
FBgn0031270	687.158	509.742	3.50066	12
FBgn0029795	1465.29	1287.48	2.07899	18
FBgn0030049	4134.78	3956.97	76.8511	2045.01
FBgn0052702	11349	11171.2	6.22967	468
FBgn0032938	3296.75	3118.93	44.3877	930.999
FBgn0037760	4690.73	4512.91	49.8211	1512
FBgn0259832	474	296.718	15.5359	31
FBgn0020440	4593.8	4415.98	17.544	521.001
FBgn0004590	639	461.611	0	0
FBgn0024941	4479.46	4301.64	0.069137	2
FBgn0035084	1250.66	1072.84	17.336	125.074
FBgn0038752	2194	2016.18	0.073754	1
FBgn0051643	2890	2712.18	0	0
FBgn0030746	3803.68	3625.87	1.35537	33.048
FBgn0015714	1558.47	1380.65	81.8421	759.875
FBgn0037506	1426	1248.18	0.595676	5
FBgn0266977	516	338.684	0	0
FBgn0035077	1165	987.183	0.531925	3.531
FBgn0053109	1025	847.183	0.175526	1
FBgn0002933	523	345.679	0	0
FBgn0085331	825	647.515	0	0
FBgn0261584	1720	1542.18	13.4993	140
FBgn0033362	2137.03	1959.22	8.95608	118
FBgn0030575	1368.08	1190.26	3.24826	26
FBgn0015572	1749	1571.18	0.283931	3
FBgn0013276	2375	2197.18	8.78238	129.766
FBgn0032613	2123	1945.18	24.0807	315
FBgn0036225	1146	968.183	0	0
FBgn0052208	514	336.685	0.010174	0.023
FBgn0017567	819	641.517	157.159	678
FBgn0014388	3447.15	3269.33	802.427	17641.9
FBgn0046763	1934	1756.18	113.632	1342
FBgn0037061	627	449.626	20.8357	63
FBgn0030941	2416.13	2238.31	69.7568	1050
FBgn0029809	1433	1255.18	0.118471	1
FBgn0053120	2301	2123.18	1.1206	16
FBgn0015614	1282.23	1104.42	85.0376	631.576
FBgn0033498	1268	1090.18	0.136401	1
FBgn0022224	396	218.804	21.0681	31
FBgn0033729	794.5	616.928	0	0
FBgn0260453	2030.18	1852.36	0.160555	2
FBgn0039160	1362	1184.18	70.3854	560.509
FBgn0032750	1371	1193.18	7.60223	61
FBgn0262738	7041.83	6864.01	20.8835	963.968
FBgn0033979	1769.47	1591.66	0.840837	9
FBgn0032651	1360	1182.18	0	0
FBgn0050376	941	763.464	0	0
FBgn0039495	1455	1277.18	0.58215	5
