Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0037028	562	141	189	783	244	363	283	220	269	399	341	445	326.37	257	395	1.526	0.61	3.473	0.000514294864959229	0.00867580371627244	0.0128	0.0225	0.0188	0.0188	TRUE	0.1596
FBgn0261109	441	200	227	801	334	366	222	313	323	408	467	449	363.72	286	441	1.557	0.638	3.472	0.000516852842951673	0.00870247310429215	0.0207	0.0215	0.0212	0.0212	TRUE	0.5028
FBgn0250906	3552	1568	1773	5518	2585	2995	1789	2450	2526	2814	3615	3671	2811.01	2255	3367	1.494	0.579	3.468	0.000525070666458746	0.00880754129218088	0.0258	0.014	0.0197	0.0197	TRUE	0.4056
FBgn0023477	2535	1012	1180	3653	1649	1937	1277	1582	1681	1863	2306	2374	1847.17	1513	2181	1.443	0.529	3.461	0.000537281097477332	0.00896567617868496	0.017	0.0145	0.0162	0.0162	TRUE	0.234
FBgn0035523	79	10	23	180	65	41	40	16	33	92	91	50	53.52	30	78	2.56	1.356	3.461	0.000537517803909035	0.00896567617868496	0.1186	0.0717	0.086	0.086	TRUE	0.9019
FBgn0031688	42	5	16	116	40	30	21	8	23	59	56	37	33.94	17	51	2.854	1.513	3.46	0.00054025640265412	0.00899451173540233	0.0743	0.1057	0.0976	0.0976	TRUE	0.6883
FBgn0037607	7522	3030	3393	10175	5200	5962	3789	4735	4835	5189	7273	7308	5521.27	4453	6590	1.48	0.566	3.458	0.000545019003081377	0.00905687362023475	0.0251	0.0134	0.0191	0.0191	TRUE	0.4252
FBgn0039651	84	44	35	181	84	82	42	69	50	92	117	101	78.54	54	103	1.964	0.974	3.445	0.000571500461428972	0.00945483286577799	0.0226	0.053	0.0422	0.0422	TRUE	0.423
FBgn0264305	1879	731	694	2737	955	1139	946	1142	989	1396	1336	1396	1200.86	1026	1376	1.345	0.428	3.444	0.000572151668873283	0.00945483286577799	0.0041	0.0155	0.0102	0.0102	TRUE	0.1141
FBgn0032026	4135	1543	1596	5733	2153	2334	2083	2411	2274	2923	3011	2861	2593.95	2256	2932	1.301	0.38	3.442	0.000576978622986284	0.009499350452752	0.0024	0.0141	0.0083	0.0083	TRUE	0.057
FBgn0001197	6321	1833	2252	7725	2823	3250	3184	2865	3209	3939	3948	3983	3521.38	3086	3957	1.282	0.358	3.439	0.000584877783125988	0.00961163545074387	0.0015	0.0137	0.0075	0.0075	TRUE	0.0466
FBgn0040070	6583	1946	2534	8494	3049	3565	3316	3041	3611	4331	4264	4370	3822.16	3323	4322	1.301	0.379	3.436	0.00059029599473808	0.00962960883723824	0.0034	0.0137	0.0085	0.0085	TRUE	0.0683
FBgn0037240	3383	973	938	4558	1420	1638	1704	1521	1337	2324	1986	2008	1813.18	1521	2106	1.384	0.469	3.428	0.000608309446104622	0.00988724860666764	0.0105	0.0146	0.0129	0.0129	TRUE	0.1397
FBgn0031738	2058	648	609	2852	918	1023	1037	1013	868	1454	1284	1254	1151.53	973	1331	1.369	0.453	3.425	0.000615317107351859	0.00998293164878508	0.0064	0.0156	0.0116	0.0116	TRUE	0.1027
