Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0039612	10079	4101	4987	9213	3745	4320	5076	6409	7106	4698	5238	5295	5637.06	6197	5077	0.826	-0.276	-3.258	0.00112191235835249	0.00926335647608803	0.0049	0.005	0.005	0.005	TRUE	NA
FBgn0052719	230	47	34	124	19	27	116	73	48	63	27	33	60.11	79	41	0.516	-0.955	-3.258	0.00112239100863687	0.00926335647608803	0.0088	0.048	0.0403	0.0403	TRUE	NA
FBgn0263355	3566	1296	1252	2728	1205	1162	1796	2025	1784	1391	1685	1424	1684.36	1868	1500	0.801	-0.32	-3.256	0.00113055418216018	0.00931351369620888	0.0063	0.0061	0.0063	0.0063	TRUE	NA
FBgn0001967	27	17	17	7	3	7	14	27	24	4	4	9	13.46	22	6	0.258	-1.956	-3.249	0.0011590094175502	0.00953912820158826	0	0.1985	0.1458	0.1458	TRUE	NA
FBgn0030576	620	211	202	388	177	188	312	330	288	198	248	230	267.62	310	225	0.717	-0.479	-3.237	0.00120892917971659	0.00992255291807825	0	0.0143	0.0118	0.0118	TRUE	NA
FBgn0001942	120015	39634	49601	91484	40719	47693	60447	61941	70676	46651	56951	58457	59187.14	64355	54020	0.836	-0.258	-3.234	0.00121859667191811	0.00999271651077015	0.0039	0.0046	0.0046	0.0046	TRUE	NA
FBgn0039797	545	190	173	348	150	160	274	297	247	177	210	196	233.55	273	194	0.707	-0.5	-3.232	0.00122756433868373	0.0100570179306842	0	0.0157	0.0127	0.0127	TRUE	NA
FBgn0030077	799	307	349	550	246	342	402	480	497	280	344	419	403.87	460	348	0.75	-0.415	-3.23	0.00123787100540565	0.010113621297596	0.0048	0.011	0.0093	0.0093	TRUE	NA
FBgn0023537	3537	1162	1521	2559	1216	1357	1781	1816	2167	1305	1701	1663	1738.94	1921	1556	0.804	-0.316	-3.223	0.00126837914025053	0.01032509181626	0.0068	0.006	0.0063	0.0063	TRUE	NA
FBgn0263773	645	157	162	448	120	146	325	245	231	228	168	179	229.38	267	192	0.718	-0.477	-3.222	0.00127475705616507	0.010367559664439	0	0.0159	0.0109	0.0109	TRUE	NA
FBgn0040477	360	112	134	195	103	103	181	175	191	99	144	126	152.84	182	123	0.659	-0.602	-3.221	0.00127598264088284	0.0103680846069916	0	0.0216	0.0182	0.0182	TRUE	NA
FBgn0036801	84	34	32	38	15	19	42	53	46	19	21	23	34.11	47	21	0.453	-1.142	-3.213	0.00131345993217066	0.0106629065402582	0	0.0811	0.0567	0.0567	TRUE	NA
FBgn0034290	31	16	20	5	6	9	16	25	28	3	8	11	15.18	23	7	0.281	-1.831	-3.212	0.00131884043047045	0.0106968619837431	0	0.1765	0.1362	0.1362	TRUE	NA
FBgn0260934	14242	4741	4304	11438	4044	4562	7173	7409	6133	5833	5656	5592	6299.26	6905	5694	0.825	-0.278	-3.209	0.0013338533511331	0.0108088116384924	0.0057	0.0049	0.0052	0.0052	TRUE	NA
FBgn0025571	3682	1417	1440	2687	1369	1445	1854	2215	2052	1370	1915	1771	1862.82	2040	1685	0.818	-0.29	-3.201	0.00136998606792068	0.0110614607473162	0.0042	0.0059	0.0053	0.0053	TRUE	NA
FBgn0084017	131	19	11	44	6	7	66	30	16	22	8	9	25.13	37	13	0.358	-1.481	-3.197	0.00138805998613724	0.0111972680001857	0.0121	0.1084	0.0902	0.0902	TRUE	NA
FBgn0283531	70	33	28	36	13	12	35	52	40	18	18	15	29.66	42	17	0.418	-1.26	-3.195	0.00139797770805197	0.0112569350161443	0	0.0925	0.071	0.071	TRUE	NA
FBgn0035877	686	227	287	513	189	242	346	355	409	262	264	297	321.96	370	274	0.743	-0.428	-3.194	0.00140330589729406	0.0112896591557081	0	0.0126	0.0097	0.0097	TRUE	NA
FBgn0036254	958	258	252	707	200	246	483	403	359	361	280	302	364.43	415	314	0.757	-0.401	-3.182	0.00146212382274971	0.0117311462148741	0	0.0117	0.0084	0.0084	TRUE	NA
FBgn0027587	2684	731	751	2107	692	694	1352	1142	1070	1074	968	851	1076.21	1188	964	0.812	-0.301	-3.181	0.00146811440930471	0.0117686370512487	0.0022	0.007	0.0054	0.0054	TRUE	NA
FBgn0003328	1599	584	619	1330	463	604	805	913	882	678	648	740	777.69	867	689	0.798	-0.325	-3.179	0.00147627808912599	0.0118234648752423	0.002	0.0079	0.0061	0.0061	TRUE	NA
