"ID","Untreated_1","Untreated_3","Untreated_4","RNAi_1","RNAi_3","RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0110971",143.370119764207,145.518887455917,119.069672045647,24.5029552280732,30.6645680380614,36.5269606033483,0.00142762989616102,-2.17510041856556,1.02641966555988e-05,0.221426466884153,2.84538436601071
"FBtr0307520",1935.74901181374,2218.9616852071,1856.23811660309,932.893531069804,905.070904272364,1028.09520084502,0.00142762989616102,-1.0668228056763,1.02706816909192e-05,0.477369134779971,2.84538436601071
"FBtr0081352",303.965482846694,356.148134618197,307.621499459771,129.426722025109,102.566212017512,106.01723872446,0.00166878423195393,-1.52305205447013,1.27301218740073e-05,0.347949043239469,2.77759981246965
"FBtr0309828",924.275391416156,1143.66975512156,906.736157215954,408.653041787428,395.730027973389,412.97837483299,0.00166878423195393,-1.28257947102118,1.27559945787845e-05,0.411059895408623,2.77759981246965
"FBtr0073423",1261.61240274665,983.453311102183,1247.06990087662,163.914350526191,304.410196890592,219.028635009049,0.00174961909011576,-2.38461403565253,1.35705617376335e-05,0.191495973721356,2.75705649135205
"FBtr0307289",671.549110143208,794.878171954008,751.357544741384,246.168243544381,251.371839843207,167.126117734621,0.0018202229613362,-1.75843407427988,1.48343260675444e-05,0.295568806717962,2.73987541149444
"FBtr0335024",4613.05326926942,5144.48693693126,3393.69846582778,872.99466785253,1226.73756438844,1054.19367472823,0.00181997900958211,-2.0532062623664,1.47300459408624e-05,0.240948001093959,2.73993362084747
"FBtr0079708",553.767127308778,557.619502363837,635.359556488296,285.945402310697,245.210207098215,280.282993515772,0.00210816966508945,-1.10790122481834,1.84844012901278e-05,0.463968503094513,2.67609444011652
"FBtr0333020",1527.74647541936,1596.54512052375,1916.35130583216,692.030687999747,608.261791866614,501.247198039157,0.00204178521622832,-1.48886485764944,1.76728261746381e-05,0.356292777179511,2.68998994506639
"FBtr0087431",454.958294560632,466.900655463315,466.544272430146,209.28260794063,245.431386306238,192.134157000878,0.00226344968583126,-1.10911104189495,2.07695484955978e-05,0.463579590876097,2.64522915498305
"FBtr0085423",455.848784510488,470.024231830795,469.678915923928,187.124818890314,170.78018732652,232.646066762434,0.00229078494551276,-1.25115003452741,2.15018595942351e-05,0.420113183750048,2.64001567962812
"FBtr0336904",164.921824327794,147.236467259083,183.570754246505,63.3980815036211,57.0892434719657,55.7007055932073,0.00233907095461721,-1.48162176325743,2.2480953981539e-05,0.358086053751808,2.63095660387219
"FBtr0304995",1328.1110750679,1282.50215982184,1359.46230420643,759.694592175925,614.43824686096,608.023140929959,0.0022120814550708,-1.00955295376191,1.99598775491479e-05,0.496700135769386,2.65519888512663
"FBtr0078083",1546.34029599429,1303.76855352456,1413.55893595169,509.778675172118,565.805443245902,692.676532554045,0.00226344968583126,-1.27930800876199,2.08636324458367e-05,0.411993074458297,2.64522915498305
"FBtr0306107",1360.32888687875,1583.30507136667,1210.33584505967,513.934470263726,618.657523880912,514.91804182998,0.00229078494551276,-1.33094960558021,2.12698254852015e-05,0.397506510432515,2.64001567962812
"FBtr0072967",102.859440839531,111.315480417831,100.862090601872,39.4857780394923,44.4610687735746,37.4713367506182,0.00248370979525859,-1.38561561413906,2.48082094091903e-05,0.382726150887826,2.60489914991279
"FBtr0085094",56500.381261451,64320.8797406034,76432.1571775579,22084.4714107497,14055.691377416,15151.8433052404,0.00215794221013343,-1.9616193601271,1.91633806880105e-05,0.256740115666904,2.66596018993866
"FBtr0086670",371.177054353283,406.675685488914,375.282749374532,195.08205827473,165.600317265829,192.990968802412,0.00254420306983072,-1.06257722079039,2.68219381806445e-05,0.478776012998689,2.59444822769845
"FBtr0076771",617.548290680487,704.057455614195,696.017294786041,304.386545005534,319.724428849084,243.202424852312,0.0025376750831749,-1.22532175560046,2.63865720766275e-05,0.427702114372704,2.59556398453346
"FBtr0344980",1949.16336209235,2485.89169961296,2125.96674744941,970.550904814431,794.36776009765,709.68637716795,0.0023539204641327,-1.41181125463593,2.27559757099159e-05,0.375839536754123,2.62820821548232
"FBtr0308034",293.702412299506,310.147902083403,275.590820908457,119.57708205889,117.850349129,145.53670467144,0.00273353531163925,-1.20533363235638,2.98058594007427e-05,0.433669043268786,2.56327531154707
"FBtr0100595",311.187577941854,311.537752869987,341.406322612913,125.887731274441,102.377576267824,145.008269072856,0.00275293851958786,-1.38016152039522,3.06919165005187e-05,0.38417578159003,2.56020348744498
"FBtr0081484",360.37303999837,379.543345576528,404.737248375398,166.189088216851,128.091218911903,106.71822536552,0.0027568418867282,-1.53317691382277,3.14545246743381e-05,0.3455156793733,2.55958814129015
"FBtr0343424",217.961756830569,232.78594938305,214.929709893031,112.7753596157,102.414635256571,98.6389608085066,0.00276492188530365,-1.08725034393369,3.19446683973467e-05,0.470657554241834,2.55831713389303
"FBtr0087621",14262.3887777531,17284.4344937874,12080.1603314134,5751.2485625595,5932.49058628241,5031.12645812562,0.00244551475550735,-1.37257852642876,2.40537928402533e-05,0.386200375887292,2.6116297124313
"FBtr0303756",286.557316695906,309.72709988914,257.056874132994,128.793828795312,133.500028862113,121.621273600369,0.00286585276345549,-1.15229313752886,3.40519680402835e-05,0.449909539636008,2.54274612575353
"FBtr0080838",940.632959348415,1076.01195904295,743.088379557214,274.705993126513,318.422991741855,305.022717916595,0.00275293851958786,-1.60695097207297,3.09458017040003e-05,0.328291437681323,2.56020348744498
"FBtr0081354",575.131767114424,662.615233224244,530.021114361542,280.146830374362,247.541073634351,271.945225314138,0.00276492188530365,-1.14097582699107,3.20933314420107e-05,0.453452762209357,2.55831713389303
"FBtr0332042",904.788338149466,1028.60769339274,820.560239989205,409.466848736783,382.966815748617,458.814579291181,0.0027560370506874,-1.13687597954117,3.11781889152539e-05,0.454743215962145,2.55971494830254
"FBtr0087307",1008.00750462197,1180.94769152998,1209.24303544664,499.505880362557,435.267830081974,339.126049908701,0.00276492188530365,-1.42788857903295,3.20814621545805e-05,0.371674449836772,2.55831713389303
"FBtr0080932",343.339567347124,316.899400081966,435.912817133258,110.87271159981,82.0314635760759,116.898485144483,0.00297601975746165,-1.82183871477749,3.76992795839111e-05,0.282860236133554,2.52636418988419
"FBtr0300599",608.251476578612,493.805876068898,640.928578768523,230.848912481308,239.479634082806,257.02969927633,0.00292591120484058,-1.25462603735423,3.60256660473105e-05,0.419102189217286,2.5337388579212
"FBtr0310438",237.754683687338,266.480411466481,264.259559481554,131.753107202847,121.566360089317,117.086916505313,0.00306737514707696,-1.05181026975362,4.05144536624936e-05,0.482362524091826,2.5132331055493
"FBtr0088996",601.31570108793,545.760805711191,710.610415342112,252.476207172161,261.434260815612,286.154816161314,0.00299206270774117,-1.20946543269906,3.8737645609517e-05,0.432428815472155,2.52402930875524
"FBtr0333662",552.158356675227,746.861781067105,511.06742820131,187.773741657424,132.482468761591,140.598734729974,0.0030941734624265,-1.9733170765458,4.10423188586249e-05,0.254666822147135,2.50945534297571
"FBtr0299967",164.284397580023,167.527139469446,170.206642858874,85.092002200225,82.6950893882031,81.4804684624876,0.00315571934247561,-1.01104700636951,4.31470552265739e-05,0.496186020181639,2.50090162822374
"FBtr0084054",28.2020193496097,26.49207293293,25.6757965519742,5.2891517771717,6.77363685558134,8.72006562729985,0.00292591120484058,-2.00251062920447,3.60954782883622e-05,0.249565319444351,2.5337388579212
"FBtr0085382",25.8225264290659,30.2291058676711,23.0668201112167,7.07296415428142,7.46034001544722,6.61914748541447,0.00299206270774117,-1.86680764864175,3.8383994545269e-05,0.27417945045352,2.52402930875524
"FBtr0112920",23.488848620773,23.2364932746539,23.3471173015849,8.01787666399355,8.46994048297857,8.54531716830208,0.00315571934247561,-1.47373162750062,4.28930741228922e-05,0.360049800454292,2.50090162822374
"FBtr0310034",134.511469855041,139.494938552411,121.808406587961,61.6437744911468,57.798404841094,58.2315679606149,0.0034630654259472,-1.15721266705852,5.0801488094212e-05,0.448377979753142,2.46053930346658
