Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0343350	2278	537	549	3358	850	941	1179	804	773	1715	1167	1167	1134.34	919	1350	1.471	0.557	4.232	2.31268253421435e-05	0.00060433776532919	0	0.0317	0.0114	0.0114	TRUE	NA
FBtr0347024	131	13	13	392	61	37	68	19	18	200	84	46	72.57	35	110	3.215	1.685	4.218	2.46174380904973e-05	0.000640451613616157	0.0511	0.1157	0.0854	0.0854	TRUE	NA
FBtr0083122	707	271	221	1080	679	590	366	406	311	551	932	732	549.84	361	738	2.003	1.002	4.214	2.51172798666571e-05	0.000650585355960515	0.0394	0.0378	0.0386	0.0386	TRUE	NA
FBtr0300815	22	5	14	158	46	35	11	7	20	81	63	43	37.64	13	62	4.88	2.287	4.211	2.54597256734011e-05	0.000656571438612448	0.1072	0.199	0.1602	0.1602	TRUE	NA
FBtr0081258	2348	726	862	3228	1401	1549	1215	1088	1214	1648	1924	1922	1501.81	1172	1831	1.556	0.638	4.206	2.60211160527718e-05	0.000669098203618584	0.0061	0.0303	0.0158	0.0158	TRUE	NA
FBtr0085137	609	87	180	1215	496	362	315	130	254	620	681	449	408.28	233	583	2.562	1.357	4.205	2.61504835847571e-05	0.000671448773727051	0.108	0.0419	0.0715	0.0715	TRUE	NA
FBtr0074809	966	430	464	1393	743	816	500	644	654	711	1020	1012	756.94	599	914	1.515	0.599	4.198	2.68993277208447e-05	0.000689675372042701	3e-04	0.0345	0.0132	0.0132	TRUE	NA
FBtr0112735	30	12	12	100	44	50	16	18	17	51	60	62	37.32	17	58	3.424	1.776	4.196	2.71159914740499e-05	0.00069422432006862	0	0.2005	0.0888	0.0888	TRUE	NA
FBtr0071911	3399	1095	989	4838	1764	1968	1759	1640	1393	2470	2422	2441	2021.15	1597	2444	1.533	0.616	4.196	2.72038530971792e-05	0.000694463730363921	0.0055	0.0291	0.015	0.015	TRUE	NA
FBtr0083810	185	34	40	414	95	87	96	51	56	211	130	108	108.8	68	150	2.214	1.147	4.196	2.72034897730063e-05	0.000694463730363921	0	0.0858	0.0409	0.0409	TRUE	NA
FBtr0113129	65	151	107	300	222	444	34	226	151	153	305	551	236.58	137	336	2.843	1.507	4.171	3.02658462455311e-05	0.000764904408470988	0.1275	0.0535	0.0877	0.0877	TRUE	NA
FBtr0331425	71	43	31	163	100	112	37	64	44	83	137	139	84.06	48	120	2.45	1.293	4.172	3.02298943325126e-05	0.000764904408470988	0	0.1034	0.054	0.054	TRUE	NA
FBtr0073120	308	1259	1278	2475	2347	3060	159	1886	1800	1264	3223	3796	2021.47	1282	2761	3.001	1.585	4.17	3.05136420783324e-05	0.000770066821694405	0.2087	0.0291	0.1034	0.1034	TRUE	NA
FBtr0310621	31	23	13	122	53	73	16	34	18	62	73	91	49.08	23	75	3.369	1.752	4.162	3.15138671794934e-05	0.000794176387852446	0.0163	0.1587	0.0975	0.0975	TRUE	NA
FBtr0070239	756	161	205	1083	467	466	391	241	289	553	641	578	448.94	307	591	1.942	0.957	4.149	3.33886430658101e-05	0.000834291644741873	0.0312	0.0404	0.0356	0.0356	TRUE	NA
FBtr0085307	45	7	19	151	48	67	23	10	27	77	66	83	47.78	20	75	3.71	1.891	4.145	3.39460092991586e-05	0.000845829366917486	0.0312	0.1623	0.1158	0.1158	TRUE	NA
FBtr0302548	237	87	49	643	144	209	123	130	69	328	198	259	184.56	107	262	2.427	1.279	4.133	3.58375253089358e-05	0.000890451770000539	0.0616	0.0612	0.0614	0.0614	TRUE	NA
FBtr0072679	6159	2389	2555	8325	3724	4118	3187	3579	3599	4251	5114	5109	4139.85	3455	4825	1.393	0.478	4.115	3.86357598617074e-05	0.000955951367431421	4e-04	0.0275	0.0095	0.0095	TRUE	NA
FBtr0080979	966	338	376	1492	565	631	500	506	530	762	776	783	642.75	512	774	1.511	0.596	4.113	3.89960811027687e-05	0.000962175273067059	0	0.0361	0.0134	0.0134	TRUE	NA
FBtr0086697	520	163	247	952	369	486	269	244	348	486	507	603	409.5	287	532	1.85	0.887	4.112	3.92187505096631e-05	0.000966321609006199	0.021	0.0418	0.0307	0.0307	TRUE	NA
FBtr0343606	350	312	361	633	732	583	181	467	509	323	1005	723	534.8	386	684	1.775	0.828	4.111	3.94545732417944e-05	0.000970780048985513	0.0181	0.0381	0.027	0.027	TRUE	NA
FBtr0072141	2535	1012	1180	3653	1649	1937	1312	1516	1662	1865	2264	2403	1837.17	1497	2177	1.453	0.539	4.108	3.99833964661724e-05	0.000982425370670911	0.0012	0.0295	0.0118	0.0118	TRUE	NA
FBtr0084868	88	14	41	189	133	157	46	21	58	97	183	195	99.7	42	158	3.595	1.846	4.106	4.0273411730936e-05	0.000988178816826615	0.1832	0.0913	0.1297	0.1297	TRUE	NA
FBtr0273275	147	36	44	366	78	129	76	54	62	187	107	160	107.67	64	151	2.362	1.24	4.098	4.16440359247369e-05	0.00101477223077758	0.0218	0.0864	0.0533	0.0533	TRUE	NA
FBtr0330734	2700	1091	1306	5139	1759	2106	1397	1634	1840	2624	2416	2613	2087.29	1624	2551	1.58	0.66	4.098	4.16177274691014e-05	0.00101477223077758	0.0104	0.029	0.0182	0.0182	TRUE	NA
FBtr0081544	277	73	127	535	225	257	143	109	179	273	309	319	222.1	144	300	2.076	1.054	4.095	4.22589732741673e-05	0.00102521654915451	0.0273	0.0553	0.0422	0.0422	TRUE	NA
